Fichier table de vérité
7
Nom,c,a2,a1,a0,b2,b1,b0
f1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,1
0,0,0,0,0,1,1,1
0,0,0,0,1,0,0,0
0,0,0,0,1,0,1,0
0,0,0,0,1,1,0,1
0,0,0,0,1,1,1,1
0,0,0,1,0,0,0,0
0,0,0,1,0,0,1,1
0,0,0,1,0,1,0,1
0,0,0,1,0,1,1,0
0,0,0,1,1,0,0,0
0,0,0,1,1,0,1,1
0,0,0,1,1,1,0,1
0,0,0,1,1,1,1,0
0,0,1,0,0,0,0,1
0,0,1,0,0,0,1,1
0,0,1,0,0,1,0,0
0,0,1,0,0,1,1,0
0,0,1,0,1,0,0,1
0,0,1,0,1,0,1,1
0,0,1,0,1,1,0,0
0,0,1,0,1,1,1,0
0,0,1,1,0,0,0,1
0,0,1,1,0,0,1,0
0,0,1,1,0,1,0,0
0,0,1,1,0,1,1,1
0,0,1,1,1,0,0,1
0,0,1,1,1,0,1,0
0,0,1,1,1,1,0,0
0,0,1,1,1,1,1,1
0,1,0,0,0,0,0,0
0,1,0,0,0,0,1,0
0,1,0,0,0,1,0,1
0,1,0,0,0,1,1,1
0,1,0,0,1,0,0,0
0,1,0,0,1,0,1,0
0,1,0,0,1,1,0,1
0,1,0,0,1,1,1,1
0,1,0,1,0,0,0,0
0,1,0,1,0,0,1,1
0,1,0,1,0,1,0,1
0,1,0,1,0,1,1,0
0,1,0,1,1,0,0,0
0,1,0,1,1,0,1,1
0,1,0,1,1,1,0,1
0,1,0,1,1,1,1,0
0,1,1,0,0,0,0,1
0,1,1,0,0,0,1,1
0,1,1,0,0,1,0,0
0,1,1,0,0,1,1,0
0,1,1,0,1,0,0,1
0,1,1,0,1,0,1,1
0,1,1,0,1,1,0,0
0,1,1,0,1,1,1,0
0,1,1,1,0,0,0,1
0,1,1,1,0,0,1,0
0,1,1,1,0,1,0,0
0,1,1,1,0,1,1,1
0,1,1,1,1,0,0,1
0,1,1,1,1,0,1,0
0,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0
1,0,0,0,0,0,1,1
1,0,0,0,0,1,0,1
1,0,0,0,0,1,1,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,1,1
1,0,0,0,1,1,0,1
1,0,0,0,1,1,1,0
1,0,0,1,0,0,0,1
1,0,0,1,0,0,1,1
1,0,0,1,0,1,0,0
1,0,0,1,0,1,1,0
1,0,0,1,1,0,0,1
1,0,0,1,1,0,1,1
1,0,0,1,1,1,0,0
1,0,0,1,1,1,1,0
1,0,1,0,0,0,0,1
1,0,1,0,0,0,1,0
1,0,1,0,0,1,0,0
1,0,1,0,0,1,1,1
1,0,1,0,1,0,0,1
1,0,1,0,1,0,1,0
1,0,1,0,1,1,0,0
1,0,1,0,1,1,1,1
1,0,1,1,0,0,0,0
1,0,1,1,0,0,1,0
1,0,1,1,0,1,0,1
1,0,1,1,0,1,1,1
1,0,1,1,1,0,0,0
1,0,1,1,1,0,1,0
1,0,1,1,1,1,0,1
1,0,1,1,1,1,1,1
1,1,0,0,0,0,0,0
1,1,0,0,0,0,1,1
1,1,0,0,0,1,0,1
1,1,0,0,0,1,1,0
1,1,0,0,1,0,0,0
1,1,0,0,1,0,1,1
1,1,0,0,1,1,0,1
1,1,0,0,1,1,1,0
1,1,0,1,0,0,0,1
1,1,0,1,0,0,1,1
1,1,0,1,0,1,0,0
1,1,0,1,0,1,1,0
1,1,0,1,1,0,0,1
1,1,0,1,1,0,1,1
1,1,0,1,1,1,0,0
1,1,0,1,1,1,1,0
1,1,1,0,0,0,0,1
1,1,1,0,0,0,1,0
1,1,1,0,0,1,0,0
1,1,1,0,0,1,1,1
1,1,1,0,1,0,0,1
1,1,1,0,1,0,1,0
1,1,1,0,1,1,0,0
1,1,1,0,1,1,1,1
1,1,1,1,0,0,0,0
1,1,1,1,0,0,1,0
1,1,1,1,0,1,0,1
1,1,1,1,0,1,1,1
1,1,1,1,1,0,0,0
1,1,1,1,1,0,1,0
1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1
